"Date","Close","High","Low","Open","Volume"
"2025-12-26","305.0899963378906","305.75","303.6700134277344","304.69000244140625","2090900"
"2025-12-24","304.55999755859375","305.1499938964844","302.29998779296875","303.760009765625","1210600"
"2025-12-23","303.7799987792969","305.1300048828125","300.6499938964844","301.3399963378906","2923000"
"2025-12-22","302.7900085449219","303.17999267578125","298.32000732421875","301.0299987792969","2612100"
"2025-12-19","300.9800109863281","306.8599853515625","299.1000061035156","300.3500061035156","11031000"
"2025-12-18","300.45001220703125","304.45001220703125","295.70001220703125","303.1499938964844","5411700"
"2025-12-17","303.32000732421875","306.25","303.0799865722656","303.7900085449219","3131000"
"2025-12-16","303.17999267578125","307.3800048828125","300.4200134277344","307.32000732421875","3366900"
"2025-12-15","308.6600036621094","311.3599853515625","306.3500061035156","308.989990234375","3566700"
"2025-12-12","309.239990234375","311.04998779296875","303.3299865722656","310.57000732421875","2953400"
"2025-12-11","310.739990234375","313.44000244140625","308.3999938964844","312","2755700"
"2025-12-10","312.6700134277344","314.69000244140625","306.6499938964844","310.2300109863281","3411500"
"2025-12-09","310.4800109863281","313.9700012207031","308.75","309.6300048828125","2935300"
"2025-12-08","309.17999267578125","315.3500061035156","307.95001220703125","309.6199951171875","3630200"
"2025-12-05","307.94000244140625","311.8299865722656","307.17999267578125","308.5899963378906","2344700"
"2025-12-04","307.989990234375","309.6099853515625","302.5400085449219","302.8800048828125","2962500"
"2025-12-03","302.6199951171875","303.9700012207031","298.9100036621094","302.8800048828125","3953400"
"2025-12-02","301.7799987792969","310.4700012207031","301.57000732421875","307","4261100"
"2025-12-01","305.6700134277344","307.1199951171875","302.79998779296875","306.510009765625","3166600"
"2025-11-28","308.5799865722656","309.17999267578125","303.6000061035156","304.05999755859375","1689000"
"2025-11-26","303.2099914550781","306.6000061035156","301.6400146484375","305.17999267578125","2196400"
"2025-11-25","304.4800109863281","306","297.05999755859375","304.1300048828125","2825300"
"2025-11-24","304.1199951171875","307.17999267578125","297.510009765625","299.17999267578125","6050600"
"2025-11-21","297.44000244140625","300.4800109863281","291.8900146484375","293.4800109863281","5710900"
"2025-11-20","290.3999938964844","300.7099914550781","290.1600036621094","294.6400146484375","5597000"
"2025-11-19","288.5299987792969","291.1099853515625","288.07000732421875","290.5","3595900"
"2025-11-18","289.95001220703125","297","289.9200134277344","297","4861900"
"2025-11-17","297.1700134277344","306","296.510009765625","305.5899963378906","3909700"
"2025-11-14","305.69000244140625","307.7200012207031","297.5899963378906","300","3592500"
"2025-11-13","304.8599853515625","314.6000061035156","303.67999267578125","312.2900085449219","5310200"
"2025-11-12","314.9800109863281","324.8999938964844","314.5299987792969","319.8900146484375","6042700"
"2025-11-11","313.7200012207031","317.9100036621094","308.42999267578125","309","4381900"
"2025-11-10","309.1300048828125","309.94000244140625","304.2300109863281","306.82000732421875","2975200"
"2025-11-07","304.70001220703125","308.30015757819643","300.97057481697243","307.9819049701873","5070800"
"2025-11-06","310.7068786621094","313.7103077630075","299.43898898196255","305.0679563831719","6818500"
"2025-11-05","305.0878601074219","305.5155253307392","298.0665750252654","299.7274311756871","4650400"
"2025-11-04","299.2003173828125","301.5076031187412","294.3769059284642","298.35497222479484","5677300"
"2025-11-03","303.0590515136719","310.4284230904427","302.5617932184801","306.31110983814057","4958000"
"2025-10-31","305.724365234375","311.78096795550096","299.9760602449307","310.2891929892067","7697500"
"2025-10-30","308.3598327636719","312.02960166223653","303.3474603058352","304.96852731552923","4694300"
"2025-10-29","306.51995849609375","312.6063953454002","305.83373960129563","311.0748616050506","4135900"
"2025-10-28","310.8560791015625","317.5989008293665","309.7024361361556","310.88591338729543","6044800"
"2025-10-27","311.3731994628906","311.7809549119811","301.21919344851284","306.11219813712256","9868200"
"2025-10-24","305.7740783691406","309.0460466206491","280.66253314895914","282.21397668305815","16914200"
"2025-10-23","283.4372253417969","284.01403160417743","262.1147874354336","263.4971800499514","16676400"
"2025-10-22","285.9334716796875","287.58437284481516","279.80724590374894","280.4437207329408","10538500"
"2025-10-21","280.5033874511719","283.74552119326916","280.05587320318244","281.7564880460168","4081000"
"2025-10-20","282.0946350097656","283.9344968386629","279.41938285671677","279.70780117644114","3494300"
"2025-10-17","279.7376403808594","281.8460108098791","273.84016396661775","274.6357651416382","5309600"
